phase,t_s,joint_indices,target_positions,actual_positions
teach,9.332957,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089091 -0.026329 1.497681 0.151097 0.074027 0.176995 -0.485205 -0.468763 -0.188176 0.109140 0.306928 0.284757 -0.272725 0.122570 1.005328 1.335408 -1.372921 -1.683846 -0.790025 -1.311871 0.052279 -1.029284 -1.109049 0.001721 0.378115 0.116828 0.086549,0.034407 0.089079 -0.026353 1.497669 0.151085 0.074039 0.176995 -0.485133 -0.469218 -0.188176 0.109164 0.306964 0.284230 -0.272629 0.122570 1.005328 1.335408 -1.372921 -1.683846 -0.790025 -1.311871 0.052279 -1.029284 -1.109049 0.001721 0.378115 0.116828 0.086549
teach,9.341851,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089079 -0.026353 1.497669 0.151085 0.074039 0.176995 -0.485133 -0.469218 -0.188176 0.109164 0.306964 0.284230 -0.272629 0.122570 1.005328 1.335408 -1.372921 -1.683846 -0.790025 -1.311871 0.052280 -1.029296 -1.109052 0.001718 0.378117 0.116822 0.086557,0.034395 0.089079 -0.026329 1.497681 0.151097 0.074039 0.176983 -0.484978 -0.469985 -0.188176 0.109140 0.307024 0.283451 -0.272497 0.122570 1.005328 1.335408 -1.372921 -1.683846 -0.790025 -1.311871 0.052280 -1.029296 -1.109052 0.001718 0.378117 0.116822 0.086557
teach,9.344735,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026329 1.497681 0.151097 0.074039 0.176983 -0.484978 -0.469985 -0.188176 0.109140 0.307024 0.283451 -0.272497 0.122567 1.005328 1.335406 -1.372919 -1.683849 -0.790024 -1.311871 0.052280 -1.029296 -1.109052 0.001718 0.378117 0.116822 0.086557,0.034407 0.089079 -0.026341 1.497705 0.151097 0.074051 0.176995 -0.484954 -0.470225 -0.188152 0.109152 0.307024 0.283331 -0.272473 0.122567 1.005328 1.335406 -1.372919 -1.683849 -0.790024 -1.311871 0.052280 -1.029296 -1.109052 0.001718 0.378117 0.116822 0.086557
teach,9.348392,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089079 -0.026341 1.497705 0.151097 0.074051 0.176995 -0.484954 -0.470225 -0.188152 0.109152 0.307024 0.283331 -0.272473 0.122567 1.005328 1.335406 -1.372919 -1.683849 -0.790024 -1.311871 0.052280 -1.029285 -1.109047 0.001725 0.378116 0.116822 0.086546,0.034395 0.089091 -0.026341 1.497681 0.151109 0.074039 0.176995 -0.484942 -0.470333 -0.188176 0.109140 0.307036 0.283223 -0.272461 0.122567 1.005328 1.335406 -1.372919 -1.683849 -0.790024 -1.311871 0.052280 -1.029285 -1.109047 0.001725 0.378116 0.116822 0.086546
teach,9.355105,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089091 -0.026341 1.497681 0.151109 0.074039 0.176995 -0.484942 -0.470333 -0.188176 0.109140 0.307036 0.283223 -0.272461 0.122569 1.005331 1.335411 -1.372929 -1.683848 -0.790015 -1.311875 0.052280 -1.029285 -1.109047 0.001725 0.378116 0.116822 0.086546,0.034371 0.089091 -0.026317 1.497681 0.151097 0.074027 0.176995 -0.484858 -0.470824 -0.188176 0.109116 0.307060 0.282756 -0.272401 0.122569 1.005331 1.335411 -1.372929 -1.683848 -0.790015 -1.311875 0.052280 -1.029285 -1.109047 0.001725 0.378116 0.116822 0.086546
teach,9.365421,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034371 0.089091 -0.026317 1.497681 0.151097 0.074027 0.176995 -0.484858 -0.470824 -0.188176 0.109116 0.307060 0.282756 -0.272401 0.122569 1.005331 1.335401 -1.372929 -1.683849 -0.790024 -1.311871 0.052280 -1.029285 -1.109047 0.001719 0.378113 0.116822 0.086551,0.034395 0.089079 -0.026341 1.497681 0.151085 0.074039 0.176995 -0.484834 -0.471052 -0.188188 0.109092 0.307060 0.282456 -0.272389 0.122569 1.005331 1.335401 -1.372929 -1.683849 -0.790024 -1.311871 0.052280 -1.029285 -1.109047 0.001719 0.378113 0.116822 0.086551
teach,9.370797,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026341 1.497681 0.151085 0.074039 0.176995 -0.484834 -0.471052 -0.188188 0.109092 0.307060 0.282456 -0.272389 0.122569 1.005331 1.335401 -1.372929 -1.683849 -0.790024 -1.311871 0.052280 -1.029285 -1.109047 0.001719 0.378113 0.116822 0.086551,0.034395 0.089079 -0.026341 1.497681 0.151085 0.074039 0.176995 -0.484834 -0.471052 -0.188188 0.109092 0.307060 0.282456 -0.272389 0.122569 1.005331 1.335401 -1.372929 -1.683849 -0.790024 -1.311871 0.052280 -1.029285 -1.109047 0.001719 0.378113 0.116822 0.086551
teach,9.381500,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026341 1.497681 0.151085 0.074039 0.176995 -0.484834 -0.471052 -0.188188 0.109092 0.307060 0.282456 -0.272389 0.122568 1.005327 1.335408 -1.372926 -1.683846 -0.790024 -1.311875 0.052278 -1.029294 -1.109048 0.001720 0.378112 0.116822 0.086551,0.034407 0.089091 -0.026317 1.497681 0.151097 0.074027 0.176995 -0.484786 -0.471627 -0.188176 0.109032 0.307120 0.282085 -0.272330 0.122568 1.005327 1.335408 -1.372926 -1.683846 -0.790024 -1.311875 0.052278 -1.029294 -1.109048 0.001720 0.378112 0.116822 0.086551
teach,9.390941,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089091 -0.026317 1.497681 0.151097 0.074027 0.176995 -0.484786 -0.471627 -0.188176 0.109032 0.307120 0.282085 -0.272330 0.122567 1.005331 1.335402 -1.372920 -1.683849 -0.790016 -1.311871 0.052278 -1.029294 -1.109048 0.001720 0.378112 0.116822 0.086551,0.034395 0.089079 -0.026329 1.497705 0.151085 0.074027 0.176995 -0.484750 -0.472658 -0.188188 0.108985 0.307144 0.281809 -0.272306 0.122567 1.005331 1.335402 -1.372920 -1.683849 -0.790016 -1.311871 0.052278 -1.029294 -1.109048 0.001720 0.378112 0.116822 0.086551
teach,9.400752,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026329 1.497705 0.151085 0.074027 0.176995 -0.484750 -0.472658 -0.188188 0.108985 0.307144 0.281809 -0.272306 0.122569 1.005328 1.335409 -1.372929 -1.683848 -0.790025 -1.311875 0.052279 -1.029289 -1.109056 0.001718 0.378115 0.116828 0.086549,0.034395 0.089079 -0.026341 1.497669 0.151085 0.074027 0.176995 -0.484738 -0.472754 -0.188200 0.108997 0.307144 0.281821 -0.272306 0.122569 1.005328 1.335409 -1.372929 -1.683848 -0.790025 -1.311875 0.052279 -1.029289 -1.109056 0.001718 0.378115 0.116828 0.086549
teach,9.411873,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026341 1.497669 0.151085 0.074027 0.176995 -0.484738 -0.472754 -0.188200 0.108997 0.307144 0.281821 -0.272306 0.122568 1.005327 1.335401 -1.372920 -1.683846 -0.790027 -1.311875 0.052278 -1.029289 -1.109049 0.001718 0.378129 0.116832 0.086557,0.034407 0.089091 -0.026341 1.497681 0.151085 0.074039 0.176995 -0.484762 -0.473269 -0.188164 0.108961 0.307168 0.281833 -0.272294 0.122568 1.005327 1.335401 -1.372920 -1.683846 -0.790027 -1.311875 0.052278 -1.029289 -1.109049 0.001718 0.378129 0.116832 0.086557
teach,9.420405,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089091 -0.026341 1.497681 0.151085 0.074039 0.176995 -0.484762 -0.473269 -0.188164 0.108961 0.307168 0.281833 -0.272294 0.122571 1.005331 1.335410 -1.372919 -1.683847 -0.790024 -1.311879 0.052278 -1.029285 -1.109047 0.001725 0.378111 0.116828 0.086552,0.034395 0.089079 -0.026341 1.497681 0.151073 0.074027 0.176983 -0.484786 -0.473665 -0.188176 0.108961 0.307144 0.281857 -0.272318 0.122571 1.005331 1.335410 -1.372919 -1.683847 -0.790024 -1.311879 0.052278 -1.029285 -1.109047 0.001725 0.378111 0.116828 0.086552
teach,9.430090,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026341 1.497681 0.151073 0.074027 0.176983 -0.484786 -0.473665 -0.188176 0.108961 0.307144 0.281857 -0.272318 0.122570 1.005325 1.335408 -1.372921 -1.683847 -0.790024 -1.311875 0.052280 -1.029281 -1.109061 0.001724 0.378110 0.116832 0.086549,0.034407 0.089079 -0.026341 1.497681 0.151109 0.073967 0.176983 -0.485038 -0.476541 -0.188212 0.108949 0.307144 0.281857 -0.272413 0.122570 1.005325 1.335408 -1.372921 -1.683847 -0.790024 -1.311875 0.052280 -1.029281 -1.109061 0.001724 0.378110 0.116832 0.086549
teach,9.443053,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089079 -0.026341 1.497681 0.151109 0.073967 0.176983 -0.485038 -0.476541 -0.188212 0.108949 0.307144 0.281857 -0.272413 0.122570 1.005326 1.335407 -1.372923 -1.683846 -0.790015 -1.311875 0.052277 -1.029286 -1.109048 0.001722 0.378106 0.116832 0.086545,0.034407 0.089091 -0.026341 1.497681 0.151121 0.073991 0.176983 -0.485133 -0.478087 -0.188188 0.108937 0.307144 0.281845 -0.272425 0.122570 1.005326 1.335407 -1.372923 -1.683846 -0.790015 -1.311875 0.052277 -1.029286 -1.109048 0.001722 0.378106 0.116832 0.086545
teach,9.454762,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089091 -0.026341 1.497681 0.151121 0.073991 0.176983 -0.485133 -0.478087 -0.188188 0.108937 0.307144 0.281845 -0.272425 0.122569 1.005334 1.335410 -1.372919 -1.683847 -0.790015 -1.311875 0.052280 -1.029297 -1.109054 0.001725 0.378111 0.116832 0.086552,0.034395 0.089067 -0.026329 1.497669 0.151097 0.073979 0.176983 -0.485205 -0.480663 -0.188212 0.108853 0.307120 0.281809 -0.272593 0.122569 1.005334 1.335410 -1.372919 -1.683847 -0.790015 -1.311875 0.052280 -1.029297 -1.109054 0.001725 0.378111 0.116832 0.086552
teach,9.460764,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089067 -0.026329 1.497669 0.151097 0.073979 0.176983 -0.485205 -0.480663 -0.188212 0.108853 0.307120 0.281809 -0.272593 0.122570 1.005319 1.335406 -1.372929 -1.683847 -0.790019 -1.311875 0.052278 -1.029298 -1.109055 0.001724 0.378105 0.116832 0.086551,0.034407 0.089103 -0.026353 1.497693 0.151097 0.073979 0.176983 -0.485277 -0.481011 -0.188188 0.108853 0.307120 0.281797 -0.272605 0.122570 1.005319 1.335406 -1.372929 -1.683847 -0.790019 -1.311875 0.052278 -1.029298 -1.109055 0.001724 0.378105 0.116832 0.086551
teach,9.474647,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089103 -0.026353 1.497693 0.151097 0.073979 0.176983 -0.485277 -0.481011 -0.188188 0.108853 0.307120 0.281797 -0.272605 0.122568 1.005327 1.335406 -1.372926 -1.683849 -0.790027 -1.311875 0.052278 -1.029281 -1.109046 0.001713 0.378110 0.116836 0.086552,0.034395 0.089079 -0.026341 1.497693 0.151073 0.073991 0.176995 -0.485445 -0.481562 -0.188212 0.108889 0.307144 0.281821 -0.272617 0.122568 1.005327 1.335406 -1.372926 -1.683849 -0.790027 -1.311875 0.052278 -1.029281 -1.109046 0.001713 0.378110 0.116836 0.086552
teach,9.480380,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026341 1.497693 0.151073 0.073991 0.176995 -0.485445 -0.481562 -0.188212 0.108889 0.307144 0.281821 -0.272617 0.122570 1.005334 1.335409 -1.372924 -1.683846 -0.790021 -1.311871 0.052279 -1.029276 -1.109055 0.001721 0.378106 0.116832 0.086549,0.034419 0.089079 -0.026341 1.497705 0.151097 0.073991 0.176995 -0.485445 -0.482125 -0.189758 0.109248 0.306976 0.281761 -0.273109 0.122570 1.005334 1.335409 -1.372924 -1.683846 -0.790021 -1.311871 0.052279 -1.029276 -1.109055 0.001721 0.378106 0.116832 0.086549
teach,9.490556,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034419 0.089079 -0.026341 1.497705 0.151097 0.073991 0.176995 -0.485445 -0.482125 -0.189758 0.109248 0.306976 0.281761 -0.273109 0.122570 1.005332 1.335409 -1.372924 -1.683847 -0.790032 -1.311875 0.052278 -1.029282 -1.109053 0.001724 0.378111 0.116839 0.086563,0.034407 0.089079 -0.026341 1.497669 0.151073 0.074015 0.176995 -0.485457 -0.482185 -0.189902 0.109188 0.306928 0.281509 -0.273085 0.122570 1.005332 1.335409 -1.372924 -1.683847 -0.790032 -1.311875 0.052278 -1.029282 -1.109053 0.001724 0.378111 0.116839 0.086563
teach,9.502710,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089079 -0.026341 1.497669 0.151073 0.074015 0.176995 -0.485457 -0.482185 -0.189902 0.109188 0.306928 0.281509 -0.273085 0.122569 1.005329 1.335413 -1.372920 -1.683852 -0.790030 -1.311871 0.052277 -1.029291 -1.109049 0.001726 0.378117 0.116836 0.086556,0.034395 0.089079 -0.026341 1.497681 0.151085 0.074003 0.176995 -0.485457 -0.482233 -0.189866 0.109080 0.306916 0.281126 -0.273073 0.122569 1.005329 1.335413 -1.372920 -1.683852 -0.790030 -1.311871 0.052277 -1.029291 -1.109049 0.001726 0.378117 0.116836 0.086556
teach,9.511606,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026341 1.497681 0.151085 0.074003 0.176995 -0.485457 -0.482233 -0.189866 0.109080 0.306916 0.281126 -0.273073 0.122569 1.005327 1.335409 -1.372921 -1.683847 -0.790015 -1.311869 0.052279 -1.029278 -1.109054 0.001725 0.378113 0.116832 0.086551,0.034407 0.089079 -0.026329 1.497681 0.151097 0.074015 0.176995 -0.485481 -0.482269 -0.189650 0.108134 0.307060 0.277015 -0.272066 0.122569 1.005327 1.335409 -1.372921 -1.683847 -0.790015 -1.311869 0.052279 -1.029278 -1.109054 0.001725 0.378113 0.116832 0.086551
teach,9.520089,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089079 -0.026329 1.497681 0.151097 0.074015 0.176995 -0.485481 -0.482269 -0.189650 0.108134 0.307060 0.277015 -0.272066 0.122571 1.005328 1.335411 -1.372924 -1.683848 -0.790027 -1.311875 0.052279 -1.029296 -1.109054 0.001719 0.378116 0.116832 0.086552,0.034407 0.089067 -0.026341 1.497669 0.151085 0.074015 0.176983 -0.485481 -0.482269 -0.189626 0.108110 0.307072 0.276392 -0.272030 0.122571 1.005328 1.335411 -1.372924 -1.683848 -0.790027 -1.311875 0.052279 -1.029296 -1.109054 0.001719 0.378116 0.116832 0.086552
teach,9.530798,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089067 -0.026341 1.497669 0.151085 0.074015 0.176983 -0.485481 -0.482269 -0.189626 0.108110 0.307072 0.276392 -0.272030 0.122569 1.005334 1.335406 -1.372924 -1.683846 -0.790021 -1.311875 0.052278 -1.029287 -1.109058 0.001721 0.378105 0.116825 0.086549,0.034395 0.089103 -0.026329 1.497681 0.151097 0.074015 0.176995 -0.485493 -0.482269 -0.189650 0.108122 0.307180 0.273935 -0.272126 0.122569 1.005334 1.335406 -1.372924 -1.683846 -0.790021 -1.311875 0.052278 -1.029287 -1.109058 0.001721 0.378105 0.116825 0.086549
teach,9.546593,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089103 -0.026329 1.497681 0.151097 0.074015 0.176995 -0.485493 -0.482269 -0.189650 0.108122 0.307180 0.273935 -0.272126 0.122569 1.005327 1.335407 -1.372921 -1.683846 -0.790017 -1.311875 0.052270 -1.029284 -1.109046 0.001722 0.378106 0.116832 0.086551,0.034395 0.089103 -0.026329 1.497681 0.151097 0.074015 0.176995 -0.485493 -0.482269 -0.189650 0.108122 0.307180 0.273935 -0.272126 0.122569 1.005327 1.335407 -1.372921 -1.683846 -0.790017 -1.311875 0.052270 -1.029284 -1.109046 0.001722 0.378106 0.116832 0.086551
teach,9.550647,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089103 -0.026329 1.497681 0.151097 0.074015 0.176995 -0.485493 -0.482269 -0.189650 0.108122 0.307180 0.273935 -0.272126 0.122570 1.005328 1.335406 -1.372920 -1.683848 -0.790026 -1.311875 0.052261 -1.029285 -1.109032 0.001724 0.378107 0.116832 0.086551,0.034395 0.089091 -0.026329 1.497681 0.151109 0.074003 0.176959 -0.485469 -0.482149 -0.189626 0.107079 0.307180 0.268854 -0.270676 0.122570 1.005328 1.335406 -1.372920 -1.683848 -0.790026 -1.311875 0.052261 -1.029285 -1.109032 0.001724 0.378107 0.116832 0.086551
teach,9.560340,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089091 -0.026329 1.497681 0.151109 0.074003 0.176959 -0.485469 -0.482149 -0.189626 0.107079 0.307180 0.268854 -0.270676 0.122570 1.005325 1.335415 -1.372920 -1.683849 -0.790024 -1.311871 0.052261 -1.029287 -1.109029 0.001723 0.378105 0.116832 0.086557,0.034419 0.089079 -0.026341 1.497681 0.151097 0.074027 0.177007 -0.485493 -0.482029 -0.187709 0.105893 0.307144 0.263545 -0.268818 0.122570 1.005325 1.335415 -1.372920 -1.683849 -0.790024 -1.311871 0.052261 -1.029287 -1.109029 0.001723 0.378105 0.116832 0.086557
teach,9.570371,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034419 0.089079 -0.026341 1.497681 0.151097 0.074027 0.177007 -0.485493 -0.482029 -0.187709 0.105893 0.307144 0.263545 -0.268818 0.122570 1.005325 1.335415 -1.372920 -1.683849 -0.790024 -1.311871 0.052254 -1.029305 -1.109016 0.001718 0.378110 0.116832 0.086557,0.034407 0.089091 -0.026341 1.497693 0.151097 0.073991 0.176995 -0.485493 -0.481454 -0.187481 0.105773 0.307168 0.261484 -0.266949 0.122570 1.005325 1.335415 -1.372920 -1.683849 -0.790024 -1.311871 0.052254 -1.029305 -1.109016 0.001718 0.378110 0.116832 0.086557
teach,9.582273,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034407 0.089091 -0.026341 1.497693 0.151097 0.073991 0.176995 -0.485493 -0.481454 -0.187481 0.105773 0.307168 0.261484 -0.266949 0.122569 1.005335 1.335411 -1.372921 -1.683842 -0.790021 -1.311871 0.052254 -1.029305 -1.109016 0.001718 0.378110 0.116832 0.086557,0.034395 0.089079 -0.026341 1.497681 0.151085 0.073931 0.176971 -0.485493 -0.480543 -0.188260 0.105941 0.307192 0.260861 -0.261640 0.122569 1.005335 1.335411 -1.372921 -1.683842 -0.790021 -1.311871 0.052254 -1.029305 -1.109016 0.001718 0.378110 0.116832 0.086557
teach,9.591337,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.034395 0.089079 -0.026341 1.497681 0.151085 0.073931 0.176971 -0.485493 -0.480543 -0.188260 0.105941 0.307192 0.260861 -0.261640 0.122569 1.005328 1.335414 -1.372920 -1.683846 -0.790017 -1.311875 0.052237 -1.029286 -1.108961 0.001726 0.378111 0.116839 0.086555,0.034395 0.089079 -0.026341 1.497681 0.151073 0.074003 0.176971 -0.485505 -0.480627 -0.187781 0.105917 0.307264 0.260849 -0.261700 0.122569 1.005328 1.335414 -1.372920 -1.683846 -0.790017 -1.311875 0.052237 -1.029286 -1.108961 0.001726 0.378111 0.116839 0.086555
