phase,t_s,joint_indices,target_positions,actual_positions
teach,0.100423,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086155 -0.026389 1.497753 0.151169 0.074134 0.175557 0.012991 -0.096066 -0.011673 1.541183 -0.163812 0.019127 -0.175197 0.122570 1.005328 1.335409 -1.372939 -1.683834 -0.790025 -1.311871 0.052382 -0.899938 -1.108356 1.387018 1.463748 1.482710 1.603467,0.033304 0.086167 -0.026377 1.497753 0.151193 0.074170 0.175545 0.013003 -0.096042 -0.011697 1.541195 -0.163764 0.019103 -0.175197 0.122570 1.005328 1.335409 -1.372939 -1.683834 -0.790025 -1.311871 0.052382 -0.899938 -1.108356 1.387018 1.463748 1.482710 1.603467
teach,0.110836,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086167 -0.026377 1.497753 0.151193 0.074170 0.175545 0.013003 -0.096042 -0.011697 1.541195 -0.163764 0.019103 -0.175197 0.122570 1.005327 1.335409 -1.372940 -1.683845 -0.790024 -1.311871 0.052378 -0.899954 -1.108349 1.387017 1.463746 1.482709 1.603468,0.033316 0.086155 -0.026377 1.497764 0.151169 0.074146 0.175557 0.013015 -0.096042 -0.011649 1.541183 -0.163812 0.019103 -0.175209 0.122570 1.005327 1.335409 -1.372940 -1.683845 -0.790024 -1.311871 0.052378 -0.899954 -1.108349 1.387017 1.463746 1.482709 1.603468
teach,0.122191,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086155 -0.026377 1.497764 0.151169 0.074146 0.175557 0.013015 -0.096042 -0.011649 1.541183 -0.163812 0.019103 -0.175209 0.122570 1.005337 1.335413 -1.372938 -1.683841 -0.790030 -1.311865 0.052380 -0.899947 -1.108349 1.387031 1.463751 1.482706 1.603469,0.033316 0.086155 -0.026377 1.497764 0.151193 0.074158 0.175557 0.013027 -0.096042 -0.011673 1.541195 -0.163800 0.019103 -0.175197 0.122570 1.005337 1.335413 -1.372938 -1.683841 -0.790030 -1.311865 0.052380 -0.899947 -1.108349 1.387031 1.463751 1.482706 1.603469
teach,0.131373,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086155 -0.026377 1.497764 0.151193 0.074158 0.175557 0.013027 -0.096042 -0.011673 1.541195 -0.163800 0.019103 -0.175197 0.122570 1.005337 1.335413 -1.372938 -1.683841 -0.790030 -1.311865 0.052380 -0.899947 -1.108349 1.387031 1.463751 1.482706 1.603469,0.033316 0.086155 -0.026377 1.497764 0.151193 0.074158 0.175557 0.013027 -0.096042 -0.011673 1.541195 -0.163800 0.019103 -0.175197 0.122570 1.005337 1.335413 -1.372938 -1.683841 -0.790030 -1.311865 0.052380 -0.899947 -1.108349 1.387031 1.463751 1.482706 1.603469
teach,0.141654,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086155 -0.026377 1.497764 0.151193 0.074158 0.175557 0.013027 -0.096042 -0.011673 1.541195 -0.163800 0.019103 -0.175197 0.122568 1.005327 1.335413 -1.372946 -1.683845 -0.790025 -1.311871 0.052380 -0.899951 -1.108352 1.387022 1.463753 1.482709 1.603467,0.033304 0.086155 -0.026389 1.497764 0.151193 0.074146 0.175557 0.013051 -0.096030 -0.011673 1.541183 -0.163788 0.019103 -0.175209 0.122568 1.005327 1.335413 -1.372946 -1.683845 -0.790025 -1.311871 0.052380 -0.899951 -1.108352 1.387022 1.463753 1.482709 1.603467
teach,0.150666,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086155 -0.026389 1.497764 0.151193 0.074146 0.175557 0.013051 -0.096030 -0.011673 1.541183 -0.163788 0.019103 -0.175209 0.122570 1.005334 1.335414 -1.372936 -1.683848 -0.790025 -1.311875 0.052378 -0.899938 -1.108352 1.387007 1.463754 1.482704 1.603462,0.033304 0.086143 -0.026377 1.497764 0.151181 0.074146 0.175569 0.013027 -0.096054 -0.011649 1.541195 -0.163752 0.019115 -0.175197 0.122570 1.005334 1.335414 -1.372936 -1.683848 -0.790025 -1.311875 0.052378 -0.899938 -1.108352 1.387007 1.463754 1.482704 1.603462
teach,0.160073,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033304 0.086143 -0.026377 1.497764 0.151181 0.074146 0.175569 0.013027 -0.096054 -0.011649 1.541195 -0.163752 0.019115 -0.175197 0.122570 1.005334 1.335414 -1.372936 -1.683848 -0.790025 -1.311875 0.052378 -0.899938 -1.108352 1.387007 1.463754 1.482704 1.603462,0.033316 0.086143 -0.026401 1.497764 0.151181 0.074134 0.175557 0.013051 -0.096042 -0.011661 1.541171 -0.163824 0.019115 -0.175197 0.122570 1.005334 1.335414 -1.372936 -1.683848 -0.790025 -1.311875 0.052378 -0.899938 -1.108352 1.387007 1.463754 1.482704 1.603462
teach,0.170312,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086143 -0.026401 1.497764 0.151181 0.074134 0.175557 0.013051 -0.096042 -0.011661 1.541171 -0.163824 0.019115 -0.175197 0.122569 1.005325 1.335420 -1.372938 -1.683843 -0.790025 -1.311879 0.052380 -0.899942 -1.108356 1.387024 1.463748 1.482710 1.603467,0.033316 0.086131 -0.026389 1.497753 0.151193 0.074158 0.175545 0.013039 -0.096030 -0.011685 1.541183 -0.163812 0.019115 -0.175209 0.122569 1.005325 1.335420 -1.372938 -1.683843 -0.790025 -1.311879 0.052380 -0.899942 -1.108356 1.387024 1.463748 1.482710 1.603467
teach,0.180326,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033316 0.086131 -0.026389 1.497753 0.151193 0.074158 0.175545 0.013039 -0.096030 -0.011685 1.541183 -0.163812 0.019115 -0.175209 0.122569 1.005325 1.335420 -1.372938 -1.683843 -0.790025 -1.311879 0.052378 -0.899920 -1.108352 1.386579 1.463475 1.482690 1.603465,0.033328 0.086131 -0.026389 1.497753 0.151205 0.074146 0.175557 0.013075 -0.096054 -0.011673 1.541171 -0.163812 0.019103 -0.175197 0.122569 1.005325 1.335420 -1.372938 -1.683843 -0.790025 -1.311879 0.052378 -0.899920 -1.108352 1.386579 1.463475 1.482690 1.603465
teach,0.191665,15 16 17 18 19 20 21 22 23 24 25 26 27 28 left_hand.thumb_0 left_hand.thumb_1 left_hand.thumb_2 left_hand.middle_0 left_hand.middle_1 left_hand.index_0 left_hand.index_1 right_hand.thumb_0 right_hand.thumb_1 right_hand.thumb_2 right_hand.middle_0 right_hand.middle_1 right_hand.index_0 right_hand.index_1,0.033328 0.086131 -0.026389 1.497753 0.151205 0.074146 0.175557 0.013075 -0.096054 -0.011673 1.541171 -0.163812 0.019103 -0.175197 0.122570 1.005329 1.335407 -1.372939 -1.683848 -0.790025 -1.311875 0.052379 -0.899942 -1.108342 1.386573 1.463466 1.482688 1.603469,0.033328 0.086131 -0.026389 1.497753 0.151157 0.074134 0.175569 0.013075 -0.096042 -0.011685 1.541171 -0.163824 0.019103 -0.175197 0.122570 1.005329 1.335407 -1.372939 -1.683848 -0.790025 -1.311875 0.052379 -0.899942 -1.108342 1.386573 1.463466 1.482688 1.603469
